date,pool_price,visser_prod,bissell_prod,month,combined_production,combined_revenue
2025-11-14,46.01652173913043,32.2,10.669243333333334,11,21.43462166666667,986.3467338942029
2025-11-15,61.98130434782608,28.0,10.298523333333334,11,19.149261666666668,1186.8962153978262
2025-11-16,25.51695652173913,21.0,9.227049999999998,11,15.113525,385.65116031521734
2025-11-17,39.30565217391304,10.1,6.42331,11,8.261655,324.7297378108695
2025-11-18,145.3782608695652,3.7,3.42835,11,3.564175,518.1535629347826
2025-11-19,98.22695652173914,21.1,7.565636666666666,11,14.332818333333334,1407.8691232623191
2025-11-20,33.87173913043478,25.1,8.165280000000001,11,16.632640000000002,563.3764431304348
2025-11-21,23.928695652173914,10.5,5.776776666666667,11,8.138388333333333,194.74101752753623
2025-11-22,23.924347826086954,23.2,6.224303333333334,11,14.712151666666667,351.97863374347827
2025-11-23,34.92217391304348,16.9,6.321216666666667,11,11.610608333333333,405.4676834528986
2025-11-24,39.8095652173913,21.9,6.1528566666666675,11,14.026428333333333,558.3860135028985
2025-11-25,57.65260869565218,23.7,6.32914,11,15.014569999999999,865.6291289434782
2025-11-26,58.27304347826087,2.5,6.60135,11,4.550675,265.18168213043475
2025-11-27,75.0613043478261,2.2,3.0373033333333335,11,2.6186516666666666,196.5594097326087
2025-11-28,55.07173913043479,0.3,0.09699666666666668,11,0.19849833333333333,10.931648431159422
2025-11-29,32.62608695652174,0.7,0.13758999999999996,11,0.418795,13.663642086956521
2025-11-30,38.00217391304348,0.1,0.14574,11,0.12287000000000001,4.6693271086956525
2025-12-01,27.06347826086956,0.1,0.02829,12,0.06414500000000001,1.7359868130434781
2025-12-02,25.109565217391303,0.9,1.4013099999999998,12,1.150655,28.89244676521739
2025-12-03,39.6695652173913,0.1,0.2775,12,0.18875000000000003,7.487630434782609
2025-12-04,22.80130434782609,0.9,0.73138,12,0.81569,18.598795943478265
2025-12-05,39.73739130434783,0.1,0.14564333333333332,12,0.12282166666666666,4.880612628985507
2025-12-06,49.17695652173913,0.4,0.08866999999999997,12,0.244335,12.01565167173913
2025-12-07,37.219130434782606,0.3,0.030109999999999998,12,0.165055,6.143203573913043
